year,month,crime_total,row_num
2010,1,13409,1
2010,3,13334,2
2010,7,13281,3
2011,1,17346,1
2011,7,16562,2
2011,3,16471,3
2012,1,17943,1
2012,8,17661,2
2012,5,17502,3
2013,8,9112,1
2013,7,8956,2
2013,1,8682,3
2014,7,12106,1
2014,8,11990,2
2014,12,11969,3
2015,12,13177,1
2015,10,13171,2
2015,8,12872,3
2016,10,13879,1
2016,8,13713,2
2016,12,13657,3
2017,10,20433,1
2017,7,20193,2
2017,1,19833,3
2018,10,15320,1
2018,12,15087,2
2018,8,14920,3
2019,7,19122,1
2019,8,18979,2
2019,3,18856,3
2020,1,6090,1
2020,2,5869,2
2020,5,5530,3
2021,10,19309,1
2021,7,18661,2
2021,8,18376,3
2022,5,13965,1
2022,7,13824,2
2022,8,13757,3
2023,8,19875,1
2023,7,19814,2
2023,10,19698,3
